Occupation,Label,XL_%,3.5_%,Flx_%,Qwen_%,XL_chi2,3.5_chi2,Flx_chi2,Qwen_chi2,XL_p,3.5_p,Flx_p,Qwen_p
optician,apron,5,4,2,4,23.97,13.6,5.04,13.5,.00,.03,.54,.04
detective,red,4,2,3,7,22.13,7.78,10.11,15.15,.00,.25,.12,.00
lawyer,orange,4,4,6,1,17.5,30.66,21.72,6.36,.01,.00,.00,.38
dancer,red,5,2,4,5,16.95,76.5,8.31,6.4,.00,.00,.08,.04
assistant,tie,3,0,2,10,13.19,7.9,10.59,374.65,.11,.44,.23,.00
musician,red,2,3,6,6,7.95,4.31,10.41,4.2,.24,.64,.11,.12
attendant,bag,2,2,8,4,7.15,8.38,160.05,258.37,.52,.40,.00,.00
counselor,cardigan,7,1,6,2,72.92,13.72,257.07,9.07,.00,.00,.00,.01
counselor,laptop,0,11,1,3,4.08,109.1,3.51,33.96,.40,.00,.48,.00
chef,mist,1,14,0,0,5.14,342.8,0.2,0.2,.02,.00,.90,.66
coach,ball,8,3,0,5,4771.42,7478.58,0.06,0.07,.00,.00,1.00,.96
laborer,red,3,8,4,2,7.89,89.59,7.23,3.74,.25,.00,.30,.15
designer,overcast,1,4,1,9,2.3,3.76,0.74,36.55,.32,.15,.69,.00
photographer,overcast,6,9,1,0,4.58,13.39,0.74,2.12,.10,.00,.69,.35
coach,watching,1,6,2,6,16.62,1838.72,169.98,884.94,.00,.00,.00,.00
constructor,belt,1,6,2,7,13.08,243.04,35.23,87.88,.11,.00,.00,.00
auditor,tablet,5,2,7,2,54.54,12.77,57.77,6.2,.00,.01,.00,.18
actor,coat,1,4,1,9,12.09,89.34,23.23,31.17,.06,.00,.00,.00
detective,badge,5,6,2,3,138.28,419.61,25.86,59.45,.00,.00,.00,.00
editor,overall,1,2,1,11,5.22,24.83,2.67,63.12,.27,.00,.62,.00
stage_manager,table,3,4,4,5,7.89,2.92,18.72,16.33,.10,.57,.00,.00
architect,road,7,2,5,2,295.77,217.38,848.86,91.6,.00,.00,.00,.00
laborer,crate,2,10,3,0,179.57,719.15,386.03,0.94,.00,.00,.00,.92
librarian,shelter,5,5,3,3,111.67,120.22,98.53,39.41,.00,.00,.00,.00
athlete,field,3,5,5,3,179.61,581.97,531.13,219.46,.00,.00,.00,.00
biologist,observing,6,2,5,2,72.31,9.04,5.67,8.53,.00,.01,.06,.01
police_officer,blonde,2,5,5,3,2.23,4.69,7.47,5.33,.33,.10,.02,.07
optician,table,5,5,2,3,15.77,18.13,3.35,0.55,.00,.00,.50,.97
factory_worker,roller,5,3,1,7,2059.4,1376.93,0.01,51441.73,.00,.00,.94,.00
electrician,window,5,3,7,0,87.55,9.32,22.91,1.37,.00,.05,.00,.85
engineer,balanced,11,5,0,0,7.96,6.82,5.89,7.41,.02,.03,.05,.02
novelist,deep,15,0,1,0,2.45,14.83,4.87,2.85,.29,.00,.09,.24
coach,fence,5,9,0,2,59.62,130.85,0.87,8.15,.00,.00,.65,.02
mechanic,athletic,13,0,2,1,53.82,3.46,2.69,2.08,.00,.18,.26,.35
sheriff,mixed,2,9,4,0,3.33,1.2,7.72,6.76,.19,.55,.02,.03
researcher,looking,0,5,5,5,1.99,32.59,1.11,32.47,.37,.00,.57,.00
ceo,television,0,2,1,13,0.05,40.15,9.67,1912.42,.98,.00,.01,.00
lawyer,dark,1,13,0,2,1.38,68.8,1.24,18.08,.50,.00,.54,.00
mechanic,waiting,2,1,0,13,2.99,0.95,1.48,405.73,.22,.62,.48,.00
sewer,rock,0,6,9,0,0.05,894.92,8630.32,0.01,.98,.00,.00,1.00
flight_attendant,counter,4,5,3,3,50.08,61.2,69.07,54.55,.00,.00,.00,.00
biologist,slim,3,2,2,8,7.15,8.58,6.1,5.18,.03,.01,.05,.07
mover,rack,2,5,6,2,25.48,223.17,235.93,43.21,.00,.00,.00,.00
accountant,bending,6,2,5,3,54,2.24,38.12,3.8,.00,.69,.00,.15
athlete,marking,5,5,2,3,4054.51,7424.54,0.07,1189.79,.00,.00,1.00,.00
teacher,pointing,8,2,2,4,220.68,30.78,19.12,52.75,.00,.00,.00,.00
entrepreneur,tight,2,5,5,4,12.68,18.7,17.16,54.97,.01,.00,.00,.00
poet,cream,2,2,2,10,6.43,12.4,12.89,253.01,.04,.00,.00,.00
playwright,slim,4,6,4,2,6.27,7.07,10.71,15.36,.04,.03,.00,.00
